통합주소,관광지출액,전년도 관광지출액,방문자수,전년도 방문자수
서울특별시,"12,271,830,690","12,619,159,246","606,502,936","580,253,420"
부산광역시,"3,178,028,987","3,209,788,309","152,046,393","144,569,398"
대구광역시,"1,918,933,813","1,898,701,162","104,672,017","103,719,747"
인천광역시,"2,031,492,555","1,925,701,266","186,246,465","167,230,432"
광주광역시,"945,670,878","982,577,482","67,544,661","66,555,389"
대전광역시,"1,674,917,945","1,641,411,787","83,670,516","79,116,223"
울산광역시,"569,142,198","583,484,090","50,038,350","48,081,723"
세종특별자치시,"104,472,409","104,757,023","27,702,482","27,495,226"
경기도,"9,618,339,191","9,770,301,355","638,748,086","618,532,459"
충청북도,"1,048,252,331","1,086,101,306","114,558,111","111,725,824"
충청남도,"1,209,587,520","1,233,750,604","167,383,720","163,842,604"
전라남도,"988,899,891","1,009,929,078","129,635,689","131,424,804"
경상북도,"1,271,012,388","1,314,624,597","180,084,118","184,316,765"
경상남도,"1,566,032,205","1,605,868,671","157,766,696","154,720,558"
제주특별자치도,"1,016,992,810","1,212,914,648","61,703,869","67,650,465"
강원특별자치도,"1,307,869,360","1,407,679,343","149,516,731","156,998,392"
전북특별자치도,"726,007,625","788,352,529","97,184,834","98,609,276"
