휴양림명,시도명,휴양림구분,휴양림면적,수용인원수,입장료,숙박가능여부,주요시설명,소재지도로명주소,관리기관명,휴양림전화번호,홈페이지주소,위도,경도,데이터기준일자,제공기관코드,제공기관명
광치자연휴양림,강원도,공유림,51,160,3000원,Y,"숲속의집, 휴양관, 숲속카페,무장애나눔길",강원도 양구군 남면 광치령로 1794번길 265,강원도 양구군청,033-482-3115,http://www.foresttrip.go.kr,38.14199686,128.0710755,2022-08-31,4320000,강원도 양구군
삼척활기자연휴양림,강원도,사유림,75625,175,0,Y,휴양관(송폭헌)+ 한옥(방우재)+ 한옥(세우재)+숲속의집(구희당)+숲속의집(삼락당),강원도 삼척시 미로면 준경길 651-43(지번활기리 403-1),삼척동해태백산림조합,033-574-0032,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030104,37.38099374,129.0601226,2023-01-04,4240000,강원도 삼척시
강릉임해자연휴양림,강원도,공유림,1160000,105,비수기 평일[(6인실)70000원+(5인실)65000원+(4인실)50000원]+비수기 주말[(6인실)120000원+(5인실)110000원+(4인실)90000원]+성수기[(6인실)140000원+(5인실)130000원+(4인실)100000원],Y,숙박동(하늘동+구름동+바다동+숲속동)+숲속의집,강원도 강릉시 강동면 율곡로 1715-85,강릉관광개발공사,033-644-9483,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030100,37.71856556,128.9985453,2023-03-15,4200000,강원도 강릉시
거제자연휴양림,경상남도,국유림,345377,600,일반1000원+청소년700원+군인700원+어린이500원+단체일반700원+단체청소년500원+단체군인500원+단체어린이300원,Y,숲속의집+휴양관+야영장+족구장+숲속수련장+목재문화체험장,경상남도 거제시 동부면 거제중앙로 325,경상남도 거제해양관광개발공사,055-639-8115,www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030059,34.7856966,128.625968,2023-11-06,B552833,거제해양관광개발공사
성수산자연휴양림,전북특별자치도,공유림,135,119,0,Y,자연휴양관,전북특별자치도 임실군 성수면 성수산길 374,전북특별자치도 임실군청,,,35.63771849,127.4078502,2024-01-25,4761000,전북특별자치도 임실군
함평자연생태공원,전라남도,국유림,561867,,"(성수기: 3~11월)성인5000원+청소년,군인4000원+어린이,노인2500원 (비수기: 12월~2월) 어른5000원+청소년,군인4000원+어린이,노인2000원",N,과학관+나비곤충표본전시관+식물관+캠핑트레일러+반달가슴곰관찰원,전라남도 함평군 대동면 학동로 1398-77,전라남도 함평군청 산림공원과,,https://www.hampyeong.go.kr/ecopark/,35.13500123,126.5056999542,2024-01-17,4960000,전라남도 함평군
거창 항노화 힐링랜드,경상남도,공유림,500000,2000,3000원(거창사랑상품권 2000원 환급),Y,출렁다리+산림휴양관+숲속의집+산림치유센터+자생식물원,경상남도 거창군 가조면 의상봉길 834,경상남도 거창군청,055-940-7930,http://healingland.foresttrip.go.kr/,35.73662049,128.0408983,2024-02-28,5470000,경상남도 거창군
금봉자연휴양림,경상북도,공유림,380,200,1000원,Y,"객실(산림휴양관, 숲속의 집, 아람동, 푸름동), 자생식물원 등",경상북도 의성군 옥산면 휴양림길 114,경상북도 의성군 시설관리사업소,054-833-0123,http://www.foresttrip.go.kr,36.3360183,128.8807891,2024-02-29,5150000,경상북도 의성군
문수산자연휴양림,경상북도,국유림,30000,500,일반 1000원+단체800원+청소년800원+청소년 단체 500원+어린이 500원+어린이 단체 300원,Y,산림휴양관+묵상의집+숲속의집+야영데크 등,경상북도 봉화군 봉성면 시거리길 378,경상북도 봉화군청 산림소득자원과,054-674-3700,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030102,36.950851,128.834816,2024-02-29,5240000,경상북도 봉화군
영양에코둥지,경상북도,공유림,642784,250,무료,Y,산림문화휴양관+숲속의집+목재문화체험장,경상북도 영양군 일월면 재일로 2394-70,경상북도 영양군청,054-680-5050,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=ID02030057,36.70182591,129.1124232,2024-02-23,5170000,경상북도 영양군
